City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
311,ilhabela,-23.7781,-45.3581,23.74,91,100,2.03,BR,1702011307
312,beau vallon,-20.4189,57.6953,28.45,78,40,3.09,MU,1702011307
313,bumba,2.1833,22.4667,21.79,97,99,0.75,CD,1702011308
314,labrador city,52.9463,-66.9114,-10.05,79,100,6.69,CA,1702011244
315,ceres,37.5949,-120.9577,11.0,87,0,2.57,US,1702011067
316,mugia,43.1041,-9.2179,13.28,71,5,7.23,ES,1702011308
317,sinop,41.7711,34.8709,9.52,75,100,3.8,TR,1702011309
318,kill devil hills,36.0307,-75.676,7.77,71,0,3.6,US,1702011125
319,soe,-9.8607,124.284,26.02,67,98,3.19,ID,1702011309
320,sinabang,2.4803,96.3801,28.84,73,99,0.76,ID,1702011309
321,martapura,-3.4167,114.85,31.05,70,40,2.57,ID,1702011309
322,lompoc,34.6391,-120.4579,13.21,81,0,7.6,US,1702011309
323,laboulaye,-34.1266,-63.3912,15.66,73,0,3.58,AR,1702011310
324,baiyin,36.5583,104.2081,6.49,20,99,1.0,CN,1702011310
325,nizhneudinsk,54.9076,99.0276,-22.36,83,87,0.24,RU,1702011310
326,aral,40.5156,81.2636,6.2,28,100,4.79,CN,1702011311
327,yakeshi,49.2833,120.7333,-17.14,94,100,6.81,CN,1702011311
328,tinajo,29.0788,-13.7081,17.49,77,75,3.6,ES,1702011311
329,capiovi,-26.93,-55.0608,20.41,99,95,0.94,AR,1702011311
330,moapa valley,36.5805,-114.4703,14.05,35,41,0.47,US,1702011311
331,crossett,33.1282,-91.9612,10.99,66,65,4.32,US,1702011312
332,lerwick,60.1545,-1.1494,6.0,96,100,15.69,GB,1702011312
333,westport,41.1415,-73.3579,2.4,87,20,1.54,US,1702011312
334,chinhoyi,-17.3667,30.2,22.6,46,23,3.18,ZW,1702011312
335,ifrane,33.3333,-5.25,7.17,51,59,2.89,MA,1702011312
336,dawson creek,55.7666,-120.2362,-11.2,79,0,0.0,CA,1702011313
337,hilo,19.7297,-155.09,23.85,87,100,2.57,US,1702011153
338,antsiranana,-12.2787,49.2917,28.42,65,20,6.17,MG,1702011313
339,vila franca do campo,37.7167,-25.4333,19.23,99,100,8.47,PT,1702011313
340,sulak,43.2734,47.5146,8.96,72,100,9.16,RU,1702011313
341,khartoum,15.5518,32.5324,21.13,26,34,5.34,SD,1702011314
342,saldanha,-33.0117,17.9442,17.03,86,0,3.93,ZA,1702011314
343,hanceville,34.0607,-86.7675,8.7,67,100,1.99,US,1702011314
344,rio grande,-32.035,-52.0986,16.08,67,81,6.31,BR,1702011314
345,bazar-korgon,41.0376,72.7459,2.07,38,100,0.6,KG,1702011315
346,muisne,0.6,-80.0333,25.13,90,71,2.97,EC,1702011315
347,hadibu,12.65,54.0333,25.65,65,16,6.54,YE,1702011315
348,pindobacu,-10.7417,-40.3608,20.94,93,100,1.76,BR,1702011315
349,mohr,54.3528,9.7167,-0.92,98,75,5.14,DE,1702011315
350,debila,33.5167,6.95,8.04,76,0,2.57,DZ,1702011316
351,newman,37.3138,-121.0208,11.13,85,66,0.89,US,1702011316
352,kupang,-10.1667,123.5833,28.32,83,75,3.6,ID,1702011316
353,watsa,3.0372,29.5355,18.73,93,27,0.4,CD,1702011317
354,plastun,44.7561,136.2939,-1.46,42,98,1.0,RU,1702011317
355,klaksvik,62.2266,-6.589,6.51,82,100,13.69,FO,1702011317
356,lhasa,29.65,91.1,2.25,83,100,0.93,CN,1702011317
357,choix,26.7092,-108.3219,19.98,36,0,1.97,MX,1702011318
358,kamloops,50.6665,-120.3192,1.99,90,100,3.6,CA,1702011318
359,campeni,46.3667,23.05,-2.39,95,84,0.72,RO,1702011318
360,manthani,18.65,79.6667,24.96,66,73,3.01,IN,1702011318
